scenario, tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
gear, 597252, 418613, 1, 0, 0.999998, 0.999998, 1.000000, 0.000002, 0.999999
RPM, 654897, 430609, 1, 0, 0.999998, 0.999998, 1.000000, 0.000002, 0.999999
