scenario_num, attack_strength, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
2, 8, 6, 304606, 106109, 1, 0, 0.999995, 0.999997, 1.000000, 0.000009, 0.999998
2, 8, 7, 304606, 106109, 1, 0, 0.999995, 0.999997, 1.000000, 0.000009, 0.999998
2, 8, 8, 304606, 106109, 1, 0, 0.999995, 0.999997, 1.000000, 0.000009, 0.999998
3, 1, 1, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 2, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 3, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 4, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 5, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 6, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 7, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 8, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 1, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 2, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 3, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 4, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 5, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 6, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 7, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 8, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 1, 1707, 21107, 1, 0, 0.999912, 0.999415, 1.000000, 0.000047, 0.999707
3, 3, 2, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 3, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 4, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 5, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 6, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 7, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 8, 1707, 21108, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 1, 3296, 20553, 2, 0, 0.999832, 0.999394, 1.000000, 0.000097, 0.999697
3, 4, 2, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 3, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 4, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 5, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 6, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 7, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 4, 8, 3296, 20555, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 1, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 5, 2, 7783, 23978, 1, 0, 0.999937, 0.999872, 1.000000, 0.000042, 0.999936
3, 5, 3, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 4, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 5, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 6, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 7, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 5, 8, 7783, 23979, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 1, 15691, 19428, 1, 0, 0.999943, 0.999936, 1.000000, 0.000051, 0.999968
3, 6, 2, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 3, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 4, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 5, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 6, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 7, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 6, 8, 15691, 19429, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 1, 30938, 19342, 3, 0, 0.999881, 0.999903, 1.000000, 0.000155, 0.999952
3, 7, 2, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 3, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 4, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 5, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 6, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 7, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 7, 8, 30938, 19345, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 8, 1, 288837, 19288, 36, 0, 0.999766, 0.999875, 1.000000, 0.001863, 0.999938
3, 8, 2, 288837, 19319, 5, 0, 0.999968, 0.999983, 1.000000, 0.000259, 0.999991
3, 8, 3, 288837, 19322, 2, 0, 0.999987, 0.999993, 1.000000, 0.000103, 0.999997
3, 8, 4, 288837, 19323, 1, 0, 0.999994, 0.999997, 1.000000, 0.000052, 0.999998
3, 8, 5, 288837, 19324, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 8, 6, 288837, 19324, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 8, 7, 288837, 19324, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 8, 8, 288837, 19324, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 1, 1, 309, 19233, 4, 0, 0.999591, 0.987220, 1.000000, 0.000208, 0.993569
4, 1, 2, 309, 19235, 2, 0, 0.999795, 0.993569, 1.000000, 0.000104, 0.996774
4, 1, 3, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 4, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 5, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 6, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 7, 309, 19237, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 1, 8, 309, 19237, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 1, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 2, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 3, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 4, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 5, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 6, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 7, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 8, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 1, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 2, 1649, 20188, 1, 0, 0.999908, 0.999394, 1.000000, 0.000050, 0.999697
4, 3, 3, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 4, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 5, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 6, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 7, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 8, 1649, 20189, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 1, 3131, 19333, 1, 0, 0.999911, 0.999681, 1.000000, 0.000052, 0.999840
4, 4, 2, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 3, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 4, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 5, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 6, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 7, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 4, 8, 3131, 19334, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 1, 6372, 19516, 1, 0, 0.999923, 0.999843, 1.000000, 0.000051, 0.999922
4, 5, 2, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 3, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 4, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 5, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 6, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 7, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 8, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 1, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 2, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 3, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 4, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 5, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 6, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 7, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 8, 15887, 19523, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 7, 1, 32517, 19803, 3, 0, 0.999885, 0.999908, 1.000000, 0.000151, 0.999954
4, 7, 2, 32517, 19805, 1, 0, 0.999962, 0.999969, 1.000000, 0.000050, 0.999985
4, 7, 3, 32517, 19805, 1, 0, 0.999962, 0.999969, 1.000000, 0.000050, 0.999985
4, 7, 4, 32517, 19806, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 7, 5, 32517, 19806, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 7, 6, 32517, 19806, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 7, 7, 32517, 19806, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 7, 8, 32517, 19806, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 8, 1, 292724, 19538, 27, 0, 0.999827, 0.999908, 1.000000, 0.001380, 0.999954
4, 8, 2, 292724, 19561, 4, 0, 0.999974, 0.999986, 1.000000, 0.000204, 0.999993
4, 8, 3, 292724, 19563, 2, 0, 0.999987, 0.999993, 1.000000, 0.000102, 0.999997
4, 8, 4, 292724, 19563, 2, 0, 0.999987, 0.999993, 1.000000, 0.000102, 0.999997
4, 8, 5, 292724, 19563, 2, 0, 0.999987, 0.999993, 1.000000, 0.000102, 0.999997
4, 8, 6, 292724, 19563, 2, 0, 0.999987, 0.999993, 1.000000, 0.000102, 0.999997
4, 8, 7, 292724, 19563, 2, 0, 0.999987, 0.999993, 1.000000, 0.000102, 0.999997
4, 8, 8, 292724, 19564, 1, 0, 0.999994, 0.999997, 1.000000, 0.000051, 0.999998
