scenario, tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
gear, 597252, 418032, 582, 0, 0.998855, 0.999026, 1.000000, 0.001390, 0.999513
RPM, 654897, 429956, 654, 0, 0.998796, 0.999002, 1.000000, 0.001519, 0.999501
