scenario_num, attack_strength, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
1, 8, 5, 287372, 95657, 633, 0, 0.996706, 0.997802, 1.000000, 0.006574, 0.998900
1, 8, 6, 287372, 95658, 632, 0, 0.996711, 0.997806, 1.000000, 0.006564, 0.998902
1, 8, 7, 287372, 95659, 631, 0, 0.996716, 0.997809, 1.000000, 0.006553, 0.998903
1, 8, 8, 287372, 95659, 631, 0, 0.996716, 0.997809, 1.000000, 0.006553, 0.998903
2, 1, 1, 316, 101165, 12, 0, 0.999764, 0.963415, 1.000000, 0.000119, 0.981366
2, 1, 2, 316, 101171, 6, 0, 0.999882, 0.981366, 1.000000, 0.000059, 0.990596
2, 1, 3, 316, 101172, 5, 0, 0.999901, 0.984424, 1.000000, 0.000049, 0.992151
2, 1, 4, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 5, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 6, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 7, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 8, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 2, 1, 635, 101506, 12, 0, 0.999765, 0.981453, 1.000000, 0.000118, 0.990640
2, 2, 2, 635, 101513, 5, 0, 0.999902, 0.992187, 1.000000, 0.000049, 0.996078
2, 2, 3, 635, 101516, 2, 0, 0.999961, 0.996860, 1.000000, 0.000020, 0.998428
2, 2, 4, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 5, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 6, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 7, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 8, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 3, 1, 1799, 114018, 18, 0, 0.999689, 0.990094, 1.000000, 0.000158, 0.995022
2, 3, 2, 1799, 114026, 10, 0, 0.999827, 0.994472, 1.000000, 0.000088, 0.997228
2, 3, 3, 1799, 114028, 8, 0, 0.999862, 0.995573, 1.000000, 0.000070, 0.997781
2, 3, 4, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 5, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 6, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 7, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 8, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 4, 1, 3097, 100249, 21, 0, 0.999594, 0.993265, 1.000000, 0.000209, 0.996621
2, 4, 2, 3097, 100256, 14, 0, 0.999729, 0.995500, 1.000000, 0.000140, 0.997745
2, 4, 3, 3097, 100257, 13, 0, 0.999749, 0.995820, 1.000000, 0.000130, 0.997906
2, 4, 4, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
2, 4, 5, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
2, 4, 6, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
2, 4, 7, 3097, 100260, 10, 0, 0.999807, 0.996781, 1.000000, 0.000100, 0.998388
2, 4, 8, 3097, 100260, 10, 0, 0.999807, 0.996781, 1.000000, 0.000100, 0.998388
2, 5, 1, 6582, 104107, 24, 0, 0.999567, 0.996367, 1.000000, 0.000230, 0.998180
2, 5, 2, 6582, 104113, 18, 0, 0.999675, 0.997273, 1.000000, 0.000173, 0.998635
2, 5, 3, 6582, 104117, 14, 0, 0.999747, 0.997878, 1.000000, 0.000134, 0.998938
2, 5, 4, 6582, 104118, 13, 0, 0.999765, 0.998029, 1.000000, 0.000125, 0.999013
2, 5, 5, 6582, 104119, 12, 0, 0.999783, 0.998180, 1.000000, 0.000115, 0.999089
2, 5, 6, 6582, 104119, 12, 0, 0.999783, 0.998180, 1.000000, 0.000115, 0.999089
2, 5, 7, 6582, 104119, 12, 0, 0.999783, 0.998180, 1.000000, 0.000115, 0.999089
2, 5, 8, 6582, 104119, 12, 0, 0.999783, 0.998180, 1.000000, 0.000115, 0.999089
2, 6, 1, 16465, 108223, 55, 0, 0.999119, 0.996671, 1.000000, 0.000508, 0.998333
2, 6, 2, 16465, 108239, 39, 0, 0.999375, 0.997637, 1.000000, 0.000360, 0.998817
2, 6, 3, 16465, 108239, 39, 0, 0.999375, 0.997637, 1.000000, 0.000360, 0.998817
2, 6, 4, 16465, 108240, 38, 0, 0.999391, 0.997697, 1.000000, 0.000351, 0.998847
2, 6, 5, 16465, 108240, 38, 0, 0.999391, 0.997697, 1.000000, 0.000351, 0.998847
2, 6, 6, 16465, 108240, 38, 0, 0.999391, 0.997697, 1.000000, 0.000351, 0.998847
2, 6, 7, 16465, 108240, 38, 0, 0.999391, 0.997697, 1.000000, 0.000351, 0.998847
2, 6, 8, 16465, 108241, 37, 0, 0.999407, 0.997758, 1.000000, 0.000342, 0.998878
2, 7, 1, 31025, 100791, 65, 0, 0.999015, 0.997909, 1.000000, 0.000644, 0.998954
2, 7, 2, 31025, 100797, 59, 0, 0.999106, 0.998102, 1.000000, 0.000585, 0.999050
2, 7, 3, 31025, 100799, 57, 0, 0.999136, 0.998166, 1.000000, 0.000565, 0.999082
2, 7, 4, 31025, 100799, 57, 0, 0.999136, 0.998166, 1.000000, 0.000565, 0.999082
2, 7, 5, 31025, 100800, 56, 0, 0.999151, 0.998198, 1.000000, 0.000555, 0.999098
2, 7, 6, 31025, 100800, 56, 0, 0.999151, 0.998198, 1.000000, 0.000555, 0.999098
2, 7, 7, 31025, 100801, 55, 0, 0.999166, 0.998230, 1.000000, 0.000545, 0.999114
2, 7, 8, 31025, 100801, 55, 0, 0.999166, 0.998230, 1.000000, 0.000545, 0.999114
2, 8, 1, 304606, 105725, 385, 0, 0.998127, 0.998738, 1.000000, 0.003628, 0.999368
2, 8, 2, 304606, 105753, 357, 0, 0.998263, 0.998829, 1.000000, 0.003364, 0.999414
2, 8, 3, 304606, 105765, 345, 0, 0.998321, 0.998869, 1.000000, 0.003251, 0.999434
2, 8, 4, 304606, 105771, 339, 0, 0.998351, 0.998888, 1.000000, 0.003195, 0.999444
2, 8, 5, 304606, 105773, 337, 0, 0.998360, 0.998895, 1.000000, 0.003176, 0.999447
2, 8, 6, 304606, 105775, 335, 0, 0.998370, 0.998901, 1.000000, 0.003157, 0.999450
2, 8, 7, 304606, 105775, 335, 0, 0.998370, 0.998901, 1.000000, 0.003157, 0.999450
2, 8, 8, 304606, 105775, 335, 0, 0.998370, 0.998901, 1.000000, 0.003157, 0.999450
3, 1, 1, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 2, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 3, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 4, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 5, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 6, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 7, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 1, 8, 318, 19501, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 1, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 2, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 3, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 4, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 5, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 6, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 7, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 2, 8, 634, 19465, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
3, 3, 1, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 2, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 3, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 4, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 5, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 6, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 7, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 3, 8, 1707, 21104, 4, 0, 0.999649, 0.997662, 1.000000, 0.000190, 0.998830
3, 4, 1, 3296, 20549, 6, 0, 0.999497, 0.998183, 1.000000, 0.000292, 0.999091
3, 4, 2, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 3, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 4, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 5, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 6, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 7, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 4, 8, 3296, 20550, 5, 0, 0.999581, 0.998485, 1.000000, 0.000243, 0.999242
3, 5, 1, 7783, 23975, 4, 0, 0.999748, 0.999486, 1.000000, 0.000167, 0.999743
3, 5, 2, 7783, 23975, 4, 0, 0.999748, 0.999486, 1.000000, 0.000167, 0.999743
3, 5, 3, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
